Season,FixtureId,Matchday,FixtureDate,FixtureTime,HomeTeam,AwayTeam,Status,LastUpdated
2026/27,560591,5,2026-09-18,20:00,Brentford,Chelsea,TIMED,2026-09-18T00:20:33Z
2026/27,560587,5,2026-09-19,12:30,Tottenham,Aston Villa,TIMED,2026-09-18T00:20:33Z
2026/27,560584,5,2026-09-19,15:00,Everton,Ipswich,TIMED,2026-09-18T00:20:33Z
2026/27,560586,5,2026-09-19,15:00,Brighton,Arsenal,TIMED,2026-09-18T00:20:33Z
2026/27,560588,5,2026-09-19,15:00,Newcastle,Hull City,TIMED,2026-09-18T00:20:33Z
2026/27,560589,5,2026-09-19,17:30,Nott'm Forest,Coventry City,TIMED,2026-09-18T00:20:33Z
2026/27,560582,5,2026-09-20,14:00,Bournemouth,Liverpool,TIMED,2026-09-18T00:20:33Z
2026/27,560585,5,2026-09-20,14:00,Leeds,Crystal Palace,TIMED,2026-09-18T00:20:33Z
2026/27,560590,5,2026-09-20,14:00,Man City,Sunderland,TIMED,2026-09-18T00:20:33Z
2026/27,560583,5,2026-09-20,16:30,Fulham,Man United,TIMED,2026-09-18T00:20:33Z
