DrawProbabilityBand,Matches,ActualDraws,PredictedDraws,MeanDrawProbability,MeanHomeProbability,MeanAwayProbability,MeanXGGap,MeanTotalXG,MeanDrawMarginToTop,ActualDrawPct,PredictedDrawPct,MeanDrawProbabilityPct,CalibrationGapPct,MeanDrawMarginToTopPct
<15%,50,7,0,0.12227346584782138,0.7475261503868659,0.13020038376531276,2.1647730756138976,3.6973880358719837,-0.6846706085414338,14.000000000000002,0.0,12.227346584782138,1.7726534152178637,-68.46706085414338
15-18%,55,11,0,0.16679082433895714,0.5847406863248374,0.24846848933620547,1.5652012189939177,3.2986912718332593,-0.5513187435455404,20.0,0.0,16.679082433895715,3.320917566104285,-55.13187435455404
18-20%,68,15,0,0.19203856726816212,0.5573496099504667,0.25061182278137123,1.2467192508532559,3.1373959144241046,-0.4654136502578385,22.058823529411764,0.0,19.203856726816213,2.854966802595552,-46.54136502578385
20-22%,129,35,0,0.21059097231967505,0.49941213574658105,0.28999689193374395,0.9821288790258785,3.0514883670826882,-0.39065163068405445,27.131782945736433,0.0,21.059097231967506,6.0726857137689265,-39.06516306840545
22-24%,276,67,0,0.23087563373396172,0.42160394291674363,0.34752042334929467,0.6063887038487749,2.9693521980352027,-0.28579383842849215,24.27536231884058,0.0,23.087563373396172,1.1877989454444062,-28.579383842849214
24-26%,447,119,0,0.24968332379863267,0.385254975567246,0.36506170063412136,0.28923442123946896,2.784134531013923,-0.1910785648803704,26.62192393736018,0.0,24.968332379863266,1.6535915574969131,-19.10785648803704
26-28%,72,14,0,0.26574379395840236,0.3691352146022313,0.3651209914393664,0.16358370577587514,2.5413730385219644,-0.1400769764245214,19.444444444444446,0.0,26.574379395840236,-7.129934951395789,-14.007697642452142
28-30%,2,0,0,0.2809863807748205,0.3686233234174766,0.3503902958077028,0.0370826735370241,2.3360491312179485,-0.08763694264265612,0.0,0.0,28.09863807748205,-28.09863807748205,-8.763694264265611
30-35%,1,0,0,0.321699884208943,0.255713248329052,0.42258686746200513,0.3077220223894622,1.8137847450953273,-0.10088698325306211,0.0,0.0,32.1699884208943,-32.1699884208943,-10.088698325306211
35%+,0,0,0,,,,,,,,,,,
