Feature,MeanImportance,MaxImportance
EloDifference,0.039636317372612875,0.05274602631702585
HomeElo,0.014002542415523825,0.034589617311259514
SeasonPPGDifference,0.012967407599861992,0.019329986913981044
TenMatchGoalDifferenceGap,0.0041504117448909915,0.006927305351919921
HomeAttackAcceleration,0.0031273810072877033,0.010087824723012817
RecentVsSeasonAway,0.0028141026605585187,0.006119193224666164
Away10GoalsAgainst,0.0025592266978561244,0.0045213749178874
HomeSeasonGoalDifferencePG,0.001974184356621948,0.005010577777098702
FormAccelerationDifference,0.001515865637112516,0.003641570212331402
Away10PPG,0.0014744955805508608,0.002818900407258207
HomeStrengthComposite,0.0013555349300311548,0.0038442059998414547
AttackVsDefenceHome,0.001259813015994234,0.002299213899503849
HomeSeasonPPG,0.0009769672618150352,0.0036746584084694778
RecentGoalDifferenceAway,0.0009065209654456858,0.002197964755622994
TenMatchGoalDifferenceAway,0.0008714317722993433,0.0027578007811714933
AwayVenueGoalsFor,0.0008602240361495816,0.0041759373186105895
AwayRecentPPG,0.00045355166568996627,0.0018884872173174916
AwayAttackAcceleration,0.0004420592411364943,0.0012124567462586278
AwaySeasonGoalDifferencePG,0.00033662150787444985,0.0016241310161074552
AttackAccelerationDifference,0.0003053951036692925,0.0022689892513406027
HomeRecentPPG,0.00030051921221273167,0.001040611807923142
RecentPPGDifference,0.00029000827637032004,0.0014361536347081926
VenueGoalsForDifference,9.159052801083569e-05,0.0016247611216889447
StrengthCompositeDifference,8.039896037293679e-05,0.0011946768364208271
EloExpectedHome,0.0,0.0
HomeRecentGoalsFor,-9.068855519453283e-05,0.00016435605551672338
AwayStrengthComposite,-0.000194822120491193,0.0013714022105514533
RecentGoalDifferenceHome,-0.000213311238554407,0.0014524992350289701
Home10PPG,-0.00032000949962434077,-0.00012952449853504967
TenMatchGoalDifferenceHome,-0.0004518613430516774,0.0010658523193355141
HomeVenueGoalsFor,-0.00047695029340752247,0.00036139207929317683
Home10GoalsFor,-0.0005324520693043678,-0.00024048904733477982
Home10GoalsAgainst,-0.0006417805370697582,0.002486554925010953
AwayVenuePPG,-0.0006625729809882704,-4.9777959880081826e-05
AwayDefenceChange,-0.0006810331745220906,0.0007235460411340267
AwayFormAcceleration,-0.0007384753552650856,0.0014335640194309996
AwayRecentGoalsAgainst,-0.0008176971928414972,0.0010321273454359404
AwaySeasonPPG,-0.0008249562399545107,0.001545232592788226
RecentVsSeasonDifference,-0.0008280743777559608,0.0014509207145321668
HomeVenuePPG,-0.000920308255254465,-0.0006939983643623471
AwayRecentGoalsFor,-0.0009242491167305023,0.0005897343870567617
Away10GoalsFor,-0.0009314494427223725,0.00014754512485741776
RecentVsSeasonHome,-0.001092742773463984,0.0012990164983416098
RecentGoalDifferenceGap,-0.0011393332795978021,0.0006572557101210297
HomeRecentGoalsAgainst,-0.001347142418683574,-3.529572702527517e-05
DefenceChangeDifference,-0.001759232385909367,-0.0003874724789704409
VenuePPGDifference,-0.0018572285714611337,-0.0016154206258751636
AwayElo,-0.002062402947362374,-0.00041892127652416457
HomeFormAcceleration,-0.00223872620425416,0.0020172098157990705
TenMatchPPGDifference,-0.002349374131748161,-0.0008393105718127458
HomeDefenceChange,-0.0027787292644177266,-0.00111060070769593
AttackVsDefenceAway,-0.002825061700147232,0.0004825027068520171
