Team,Matches,Model2Correct,Model5Correct,MeanLogLossImprovement,MeanBrierImprovement,Model2Accuracy,Model5Accuracy,AccuracyUpliftPP
Burnley,37,25,25,0.037211764141107155,0.027007550032079174,67.56756756756756,67.56756756756756,0.0
Bournemouth,76,33,36,0.037064848980936684,0.026602653362905307,43.42105263157895,47.368421052631575,3.947368421052623
West Ham,73,36,38,0.02875078735350542,0.021545742674405736,49.31506849315068,52.054794520547944,2.7397260273972606
Wolves,75,40,41,0.028258650354217187,0.021580246286885763,53.333333333333336,54.666666666666664,1.3333333333333286
Fulham,73,31,34,0.02703548679899806,0.01821151183105197,42.465753424657535,46.57534246575342,4.109589041095887
Nott'm Forest,74,40,38,0.023145124986758497,0.015802978212465936,54.054054054054056,51.35135135135135,-2.702702702702709
Brentford,75,39,39,0.02110098712660102,0.012482553546238229,52.0,52.0,0.0
Chelsea,75,40,43,0.018976004135844368,0.013181318302722041,53.333333333333336,57.333333333333336,4.0
Luton,28,17,16,0.018348306293329064,0.01472117677474329,60.71428571428571,57.14285714285714,-3.5714285714285694
Liverpool,75,46,49,0.014124471519774537,0.007782620360762724,61.33333333333333,65.33333333333333,4.0
Arsenal,75,48,48,0.013803577192360495,0.010541212952474219,64.0,64.0,0.0
Tottenham,74,40,43,0.01308594693419162,0.010959797776744799,54.054054054054056,58.108108108108105,4.054054054054049
Crystal Palace,75,28,31,0.009403611498960048,0.007203807204821328,37.333333333333336,41.333333333333336,4.0
Man City,74,48,51,0.007851995250669281,0.0049417028491056956,64.86486486486487,68.91891891891892,4.054054054054049
Man United,75,37,38,0.00772477560064538,0.0030872517976837195,49.333333333333336,50.66666666666667,1.3333333333333357
Newcastle,75,43,44,0.0056681563834454305,0.004815317995318452,57.333333333333336,58.666666666666664,1.3333333333333286
Everton,73,30,28,0.0016984964525803615,-0.0005583699957461613,41.0958904109589,38.35616438356164,-2.7397260273972606
Southampton,37,30,28,0.0013151698193555493,-0.0016238466963839353,81.08108108108108,75.67567567567568,-5.4054054054054035
Brighton,74,33,32,-0.0018835440282896473,-0.001025517081450904,44.5945945945946,43.24324324324324,-1.3513513513513544
Aston Villa,74,39,37,-0.0023598852457829564,0.00040807267055152153,52.702702702702695,50.0,-2.7027027027026946
Sheffield United,28,17,16,-0.003357834770101328,-0.0019699820922365083,60.71428571428571,57.14285714285714,-3.5714285714285694
Leicester,37,25,24,-0.007619453829855549,-0.0066183032419335356,67.56756756756756,64.86486486486487,-2.7027027027026946
Ipswich,28,17,17,-0.021062996603806172,-0.01473652174143381,60.71428571428571,60.71428571428571,0.0
