Dimension,Segment,Matches,Correct,Errors,AccuracyPct,DrawRatePct,MeanTopProbability,MeanMarketMargin,MeanOver25Probability,MeanAbsXGDDifference,MeanAbsEWXGDDifference
Overall,All OOT,1100,595,505,54.090909090909086,24.363636363636363,0.5394357522679013,0.28712730301807804,0.5767370822194667,0.7254315019586499,0.7363563491178262
Season,2023/24,360,208,152,57.77777777777777,21.944444444444443,0.5536858703977232,0.307786816335153,0.5955835052854199,0.8075000000000001,0.8246933432300062
Season,2024/25,370,202,168,54.59459459459459,23.783783783783786,0.5437414186688523,0.2931467258216557,0.5910352789895459,0.7932432432432432,0.8013153575061955
Season,2025/26,370,185,185,50.0,27.297297297297295,0.5212651060649615,0.2610067321222112,0.5441018251690006,0.5777693301473378,0.585447832944633
ActualResult,H,475,385,90,81.05263157894737,0.0,0.5630157904085245,0.32173533192819403,0.5869758422192569,0.7261233332532009,0.7365632692698888
ActualResult,D,268,0,268,0.0,100.0,0.520959244913427,0.25968703236664364,0.5677259424730023,0.6526505787592829,0.6575063979248252
ActualResult,A,357,210,147,58.82352941176471,0.0,0.5219320711872376,0.26167962459309024,0.5698787473515455,0.7791476575679459,0.7952737156374188
MarketPick,H,694,385,309,55.47550432276657,23.34293948126801,0.557458311905816,0.31432689019663995,0.5784286132696017,0.6445242751987856,0.6471018851511942
MarketPick,A,406,210,196,51.724137931034484,26.108374384236456,0.508628716827722,0.24063342739758056,0.573845647370221,0.8637310472082704,0.888924324469655
TopProbability,70%+,141,108,33,76.59574468085107,17.02127659574468,0.7698673204695826,0.6254636937761451,0.6626725384688273,1.388355474705741,1.4021428098428463
TopProbability,<40%,163,69,94,42.331288343558285,28.22085889570552,0.3810754103405704,0.03661643158782533,0.533967993787925,0.4389351553344166,0.46594264918029843
TopProbability,40-45%,174,70,104,40.229885057471265,28.735632183908045,0.4262967163165555,0.11912127761566485,0.5507060561279228,0.5109028873809286,0.5193787806619469
TopProbability,50-55%,138,72,66,52.17391304347826,23.18840579710145,0.5248836257073309,0.2753017636291599,0.5597327595950637,0.6350517299550427,0.6602533676424944
TopProbability,55-60%,144,76,68,52.77777777777778,31.944444444444443,0.5733788921557758,0.3426398553359812,0.5817741397136318,0.6792985535166298,0.6822578971431451
TopProbability,45-50%,156,76,80,48.717948717948715,21.794871794871796,0.47442542397400433,0.20105861911380984,0.5517067941121091,0.5617275775543805,0.5603986655237426
TopProbability,60-70%,184,124,60,67.3913043478261,19.565217391304348,0.6495991729668402,0.44704969952472007,0.6034210268437371,0.9167791573833702,0.9194945350283646
MarketMargin,30pp+,489,320,169,65.439672801636,22.085889570552148,0.6574794820919725,0.46212417596561933,0.6144839758641991,0.9730100736989832,0.9795463563935998
MarketMargin,<5pp,117,53,64,45.2991452991453,28.205128205128204,0.37611462388394823,0.02487617192259109,0.5413867083308773,0.4325401653192635,0.45095881395954407
MarketMargin,10-15pp,91,38,53,41.75824175824176,29.67032967032967,0.4291495570759184,0.1258525922837133,0.5474531176626302,0.5077932013502348,0.497442265138216
MarketMargin,20-30pp,201,103,98,51.243781094527364,24.378109452736318,0.506910438334887,0.24929917138579363,0.5486410667320866,0.6025107851952114,0.6107081223727847
MarketMargin,5-10pp,96,35,61,36.45833333333333,23.958333333333336,0.4018747636882504,0.07382995549642689,0.5527321255571158,0.48836977327281744,0.5317868471755217
MarketMargin,15-20pp,106,46,60,43.39622641509434,26.41509433962264,0.45608362871700053,0.17265475550693798,0.5417783886337312,0.5412092395477275,0.5581180987407016
Over25Probability,55-60%,269,143,126,53.159851301115246,27.509293680297397,0.530687846726511,0.27306517070365954,0.5725854419014271,0.7045779169715772,0.7026309619212002
Over25Probability,60%+,414,251,163,60.6280193236715,21.256038647342994,0.6101711073156799,0.39163105514568664,0.6530288038030558,0.9139141383577216,0.9237404166434432
Over25Probability,50-55%,251,122,129,48.60557768924303,24.302788844621514,0.49063191521833754,0.21529769543120228,0.5282490178404927,0.580552643282531,0.6112945361581302
Over25Probability,45-50%,126,64,62,50.79365079365079,26.190476190476193,0.45762410388284563,0.1679555405686606,0.47763647658183084,0.5362634029991489,0.5320223107876243
Over25Probability,<45%,40,15,25,37.5,30.0,0.43010526218817996,0.12620314763510332,0.4314670567047522,0.41987092418139743,0.45214957618722773
