Model,Matches,Accuracy,LogLoss,Brier,PredictedDraws,ActualDraws,CorrectDraws,Season
Model2,360,0.5472222222222223,0.9726136302886741,0.5772690074945134,0,79,0,2023/24
MarketOpen,360,0.5777777777777777,0.9230590486036192,0.5429592338086532,0,79,0,2023/24
Model6A,360,0.5777777777777777,0.9230590486036192,0.5429592338086532,0,79,0,2023/24
Model6B,360,0.5416666666666666,1.3572252596904857,0.6731684770390876,34,79,11,2023/24
Model6C,360,0.5888888888888889,0.921398752238814,0.5417266013223923,0,79,0,2023/24
Model2,370,0.5243243243243243,1.0003249513245356,0.5986481558338251,0,88,0,2024/25
MarketOpen,370,0.5459459459459459,0.9704339098971335,0.578636506768438,0,88,0,2024/25
Model6A,370,0.5459459459459459,0.9704339098971335,0.578636506768438,0,88,0,2024/25
Model6B,370,0.4891891891891892,1.2715508466562824,0.7042994848821834,49,88,12,2024/25
Model6C,370,0.5459459459459459,0.9725831238809575,0.5803975869415254,0,88,0,2024/25
Model2,370,0.4945945945945946,1.0374617727061728,0.6232653951543593,0,101,0,2025/26
MarketOpen,370,0.5,1.0097499598261244,0.6064337548524715,0,101,0,2025/26
Model6A,370,0.5,1.0097499598261244,0.6064337548524715,0,101,0,2025/26
Model6B,370,0.43783783783783786,1.3092768256142733,0.7448265959047137,34,101,7,2025/26
Model6C,370,0.4918918918918919,1.0135678978126483,0.6093103587243764,0,101,0,2025/26
